Order Date,Region,Revenue,Units,Customer Email,Discount Rate,Product Line
07/19/2024,West,"2,081.37",27,iris.araujo@mail.com,0.10,Hardware
05/26/2024,North,"4,060.06",2,gabriela.silva@mail.com,0.00,Hardware
08/06/2024,East,"4,559.85",31,vitor.martins@mail.com,0.00,Hardware
06/26/2024,South,"3,622.13",22,wanda.martins@mail.com,0.00,Services
01/14/2024,South,"4,926.92",14,iris.silva@mail.com,0.00,Software
08/02/2024,East,"1,210.48",27,joao.lima@mail.com,0.10,Hardware
04/21/2024,South,"3,198.43",1,ursula.santos@mail.com,0.05,Services
12/07/2024,North,132.66,11,vitor.silva@mail.com,0.00,Software
08/15/2024,North,"2,563.27",31,bruno.gomes@mail.com,0.10,Services
06/12/2024,North,"2,696.45",23,fabio.lima@mail.com,0.10,Hardware
02/01/2024,North,727.92,28,nicolas.martins@mail.com,0.10,Services
02/26/2024,West,"3,516.96",25,queila.pereira@mail.com,0.10,Hardware
08/07/2024,North,"1,484.78",28,karina.almeida@mail.com,0.05,Services
10/02/2024,North,"4,906.73",19,lucas.ribeiro@mail.com,0.00,Hardware
04/15/2024,East,"3,189.74",17,wanda.almeida@mail.com,0.00,Software
10/27/2024,North,"2,110.27",20,ana.silva@mail.com,0.00,Software
03/01/2024,South,"3,487.01",26,sofia.almeida@mail.com,0.05,Software
09/20/2024,South,588.10,29,fabio.costa@mail.com,0.15,Services
12/17/2024,West,"4,054.54",28,olivia.costa@mail.com,0.15,Hardware
01/15/2024,North,"1,660.27",17,ana.martins@mail.com,0.10,Hardware
09/28/2024,North,"2,593.74",26,nicolas.costa@mail.com,0.15,Hardware
04/03/2024,South,"2,608.68",34,diego.santos@mail.com,0.05,Software
01/12/2024,West,"4,065.83",1,ana.silva@mail.com,0.15,Services
06/03/2024,West,"3,060.40",8,ursula.martins@mail.com,0.05,Hardware
04/07/2024,East,715.42,15,marina.nascimento@mail.com,0.10,Services
11/06/2024,South,517.07,39,carla.almeida@mail.com,0.05,Hardware
08/17/2024,South,"3,997.50",8,gabriela.ribeiro@mail.com,0.00,Software
10/14/2024,West,"2,774.63",10,wanda.ribeiro@mail.com,0.05,Services
07/24/2024,South,"1,621.40",32,iris.souza@mail.com,0.05,Hardware
08/03/2024,South,"1,836.10",33,queila.silva@mail.com,0.15,Services
01/03/2024,East,"4,408.53",1,diego.souza@mail.com,0.05,Services
10/27/2024,East,741.93,12,ana.gomes@mail.com,0.05,Software
06/26/2024,South,"4,892.89",10,gabriela.costa@mail.com,0.10,Services
02/15/2024,East,325.77,6,joao.silva@mail.com,0.10,Software
03/23/2024,South,"1,453.51",36,diego.ferreira@mail.com,0.15,Services
12/08/2024,North,"1,220.59",5,ana.rodrigues@mail.com,0.10,Hardware
09/21/2024,North,"3,180.07",8,yasmin.souza@mail.com,0.15,Services
06/19/2024,South,"4,960.44",23,sofia.santos@mail.com,0.10,Software
04/15/2024,North,"2,105.19",35,fabio.ribeiro@mail.com,0.05,Services
10/14/2024,West,"4,950.97",29,joao.araujo@mail.com,0.05,Hardware
01/08/2024,South,195.36,19,paulo.almeida@mail.com,0.00,Hardware
02/06/2024,North,"1,017.92",30,wanda.araujo@mail.com,0.10,Hardware
01/02/2024,East,"1,949.02",23,vitor.costa@mail.com,0.15,Services
05/15/2024,East,224.15,32,marina.lima@mail.com,0.05,Software
06/03/2024,South,"1,385.08",31,elisa.costa@mail.com,0.15,Services
11/20/2024,South,"3,248.53",9,gabriela.carvalho@mail.com,0.15,Hardware
08/14/2024,East,"3,946.54",14,sofia.costa@mail.com,0.05,Services
06/27/2024,South,"3,130.96",12,paulo.gomes@mail.com,0.10,Hardware
08/06/2024,North,"2,628.58",32,karina.nascimento@mail.com,0.15,Hardware
03/06/2024,East,"4,077.82",12,rafael.silva@mail.com,0.00,Software
09/15/2024,North,"2,412.00",16,ana.souza@mail.com,0.00,Software
08/13/2024,East,"2,632.22",2,diego.rodrigues@mail.com,0.10,Services
12/11/2024,West,"4,376.05",19,elisa.santos@mail.com,0.00,Services
06/28/2024,West,705.46,9,karina.pereira@mail.com,0.15,Services
01/19/2024,North,567.82,28,nicolas.araujo@mail.com,0.05,Hardware
02/18/2024,East,742.93,28,ana.araujo@mail.com,0.10,Services
11/23/2024,South,236.19,18,joao.oliveira@mail.com,0.00,Services
04/22/2024,North,"1,320.42",35,bruno.silva@mail.com,0.10,Hardware
08/18/2024,South,"2,037.64",15,olivia.silva@mail.com,0.15,Hardware
06/13/2024,North,"4,463.13",20,wanda.almeida@mail.com,0.15,Hardware
03/23/2024,North,"1,658.57",2,tiago.nascimento@mail.com,0.00,Software
02/17/2024,East,"2,332.15",27,queila.souza@mail.com,0.15,Software
01/20/2024,West,"4,443.58",27,elisa.santos@mail.com,0.05,Hardware
09/18/2024,North,"1,922.31",26,paulo.carvalho@mail.com,0.00,Services
04/25/2024,South,"4,507.19",11,olivia.almeida@mail.com,0.15,Services
11/03/2024,East,664.33,37,marina.silva@mail.com,0.15,Services
08/04/2024,North,"2,973.20",4,wanda.ribeiro@mail.com,0.15,Hardware
10/12/2024,North,"4,383.65",1,gabriela.santos@mail.com,0.15,Hardware
05/25/2024,North,"1,889.19",39,olivia.ribeiro@mail.com,0.10,Software
01/26/2024,North,"4,458.27",1,joao.martins@mail.com,0.00,Hardware
10/09/2024,South,"1,600.11",28,rafael.ferreira@mail.com,0.15,Services
12/02/2024,East,"4,824.26",27,sofia.martins@mail.com,0.05,Services
01/23/2024,North,446.45,39,fabio.santos@mail.com,0.00,Hardware
06/08/2024,East,"3,362.85",35,queila.ribeiro@mail.com,0.10,Services
10/22/2024,West,"2,063.73",21,ursula.carvalho@mail.com,0.15,Software
06/09/2024,West,"2,016.32",38,karina.nascimento@mail.com,0.05,Services
06/19/2024,East,"4,325.06",14,fabio.martins@mail.com,0.15,Software
03/01/2024,South,"2,165.11",3,iris.pereira@mail.com,0.00,Services
12/01/2024,West,"4,303.35",33,ana.almeida@mail.com,0.00,Services
06/03/2024,North,"1,109.50",14,lucas.santos@mail.com,0.00,Software
08/13/2024,North,167.16,22,wanda.nascimento@mail.com,0.05,Software
11/10/2024,South,"2,120.94",23,carla.lima@mail.com,0.05,Software
09/19/2024,North,"2,744.57",34,bruno.martins@mail.com,0.05,Software
09/07/2024,West,"3,425.68",10,vitor.pereira@mail.com,0.00,Software
02/13/2024,South,"4,162.60",40,ursula.costa@mail.com,0.10,Hardware
10/12/2024,South,"3,070.89",11,joao.nascimento@mail.com,0.15,Hardware
05/18/2024,West,"1,303.35",38,tiago.costa@mail.com,0.15,Hardware
02/12/2024,West,"1,380.37",22,tiago.silva@mail.com,0.15,Software
10/19/2024,West,"3,708.85",36,wanda.costa@mail.com,0.05,Software
08/25/2024,East,"3,594.20",21,iris.oliveira@mail.com,0.00,Software
05/09/2024,East,"2,479.92",35,rafael.araujo@mail.com,0.00,Hardware
10/13/2024,South,"3,475.20",26,nicolas.almeida@mail.com,0.15,Software
05/22/2024,South,163.08,7,gabriela.nascimento@mail.com,0.15,Software
04/11/2024,West,944.46,23,ursula.ribeiro@mail.com,0.10,Software
