Aluno;Turma;Nota Final;Frequência;Data da Prova;Aprovado;E-mail do Responsável;Parecer
Carla Ferreira Souza;6º A;6,7;88%;25/06/2024;Sim;carla.ferreira@familia.com;Faltou às avaliações de recuperação.
Yasmin Araújo Araújo;7º A;6,1;65%;02/03/2024;Sim;yasmin.araujo@familia.com;Faltou às avaliações de recuperação.
Queila Santos Carvalho;6º A;4,8;69%;08/11/2024;Não;queila.santos@familia.com;Precisa de reforço em frações.
Fábio Pereira Rodrigues;6º B;7,2;94%;17/11/2024;Sim;fabio.pereira@familia.com;Ótimo desempenho no bimestre.
Wanda Pereira Ribeiro;6º B;7,4;76%;03/06/2024;Sim;wanda.pereira@familia.com;Participativo em sala.
Tiago Rodrigues Costa;7º A;6,6;62%;03/11/2024;Sim;tiago.rodrigues@familia.com;Ótimo desempenho no bimestre.
Carla Oliveira Martins;6º B;8,8;95%;23/03/2024;Sim;carla.oliveira@familia.com;Ótimo desempenho no bimestre.
Gabriela Gomes Gomes;8º C;3,5;63%;15/11/2024;Não;gabriela.gomes@familia.com;Participativo em sala.
Sofia Almeida Santos;7º A;5,0;84%;04/11/2024;Não;sofia.almeida@familia.com;Faltou às avaliações de recuperação.
Vitor Gomes Rodrigues;6º B;3,5;100%;25/03/2024;Não;vitor.gomes@familia.com;Faltou às avaliações de recuperação.
Vitor Ferreira Rodrigues;8º C;4,7;98%;20/06/2024;Não;vitor.ferreira@familia.com;Ótimo desempenho no bimestre.
Olívia Almeida Pereira;7º A;7,4;75%;03/11/2024;Sim;olivia.almeida@familia.com;Precisa de reforço em frações.
Carla Silva Lima;6º B;4,5;81%;18/09/2024;Não;carla.silva@familia.com;Faltou às avaliações de recuperação.
Ana Costa Gomes;6º B;7,5;87%;21/09/2024;Sim;ana.costa@familia.com;Faltou às avaliações de recuperação.
Nicolas Costa Almeida;6º B;6,8;67%;21/06/2024;Sim;nicolas.costa@familia.com;Ótimo desempenho no bimestre.
Sofia Almeida Oliveira;8º C;10,0;94%;04/11/2024;Sim;sofia.almeida@familia.com;Ótimo desempenho no bimestre.
Nicolas Silva Ribeiro;6º A;9,8;79%;05/11/2024;Sim;nicolas.silva@familia.com;Precisa de reforço em frações.
Paulo Santos Santos;7º A;9,2;63%;16/09/2024;Sim;paulo.santos@familia.com;Ótimo desempenho no bimestre.
Vitor Oliveira Araújo;6º B;8,5;86%;12/06/2024;Sim;vitor.oliveira@familia.com;Participativo em sala.
Diego Gomes Ferreira;7º A;3,6;82%;17/06/2024;Não;diego.gomes@familia.com;Faltou às avaliações de recuperação.
Ana Carvalho Costa;6º B;8,9;64%;01/11/2024;Sim;ana.carvalho@familia.com;Precisa de reforço em frações.
Wanda Ferreira Martins;7º A;4,1;98%;20/06/2024;Não;wanda.ferreira@familia.com;Faltou às avaliações de recuperação.
Gabriela Costa Oliveira;6º B;4,3;72%;26/09/2024;Não;gabriela.costa@familia.com;Ótimo desempenho no bimestre.
Úrsula Ribeiro Costa;6º B;7,9;68%;21/06/2024;Sim;ursula.ribeiro@familia.com;Precisa de reforço em frações.
Carla Almeida Almeida;7º A;4,9;88%;20/11/2024;Não;carla.almeida@familia.com;Faltou às avaliações de recuperação.
Carla Santos Araújo;6º B;3,2;65%;28/06/2024;Não;carla.santos@familia.com;Ótimo desempenho no bimestre.
Íris Almeida Ribeiro;6º B;7,1;77%;03/09/2024;Sim;iris.almeida@familia.com;Precisa de reforço em frações.
Tiago Nascimento Pereira;6º B;9,1;93%;06/03/2024;Sim;tiago.nascimento@familia.com;Precisa de reforço em frações.
Queila Carvalho Pereira;6º A;6,1;71%;03/03/2024;Sim;queila.carvalho@familia.com;Faltou às avaliações de recuperação.
Diego Martins Costa;6º A;8,0;86%;09/06/2024;Sim;diego.martins@familia.com;Precisa de reforço em frações.
Úrsula Lima Ferreira;7º A;9,0;82%;15/11/2024;Sim;ursula.lima@familia.com;Ótimo desempenho no bimestre.
