CONTROLE DE PEDIDOS - LOJINHA,,,,,,,,
"(planilha do Zé, não mexer!!)",,,,,,,,
2024-04-08,Olívia Araújo,Torta de limão,6,"R$130,20",5%,S,sp,retirar na loja,
2024-04-16,Sofia Carvalho,Bolo de pote,5,"R$127,38",5%,Sim,SP,retirar na loja,
10/04/2024,Elisa Martins,Pão de mel,1,"R$150,64",0%,NAO,sp,,
2024-04-20,Gabriela Carvalho,Pão de mel,6,"R$ 115,21",5%,Sim,SP,cliente pediu p/ entregar depois das 18h,
24/04/2024,Marina Oliveira,Brigadeiro (cx 20),4,"121,90",10%,S,SP,retirar na loja,
2024-04-05,Úrsula Lima,Brigadeiro (cx 20),3,"R$ 159,66",0%,Sim,SP,,
21/04/2024,Paulo Martins,Pão de mel,6,"137,87",10%,NAO,MG,,
2024-04-05,Sofia Ferreira,Pão de mel,4,"61,35",5%,sim,SP,retirar na loja,
28/04/2024,Bruno Silva,Bolo de pote,2,"R$ 142,16",10%,Sim,sp,,
22/04/2024,Nicolas Pereira,Cookie,4,"R$ 157,32",10%,Sim,SP,,
2024-04-13,Gabriela Martins,Cookie,4,"R$52,04",10%,sim,SP,,
26/04/2024,Sofia Costa,Pão de mel,6,"88,37",5%,Sim,MG,retirar na loja,
27/04/2024,Ana Araújo,Cookie,3,"R$ 128,10",0%,Não,MG,cliente pediu p/ entregar depois das 18h,
13/04/2024,Úrsula Carvalho,Bolo de pote,2,"144,59",0%,sim,SP,cliente pediu p/ entregar depois das 18h,
2024-04-13,Queila Araújo,Bolo de pote,2,"R$ 178,14",0%,NAO,RJ,cliente pediu p/ entregar depois das 18h,
26/04/2024,Lucas Silva,Pão de mel,3,"R$106,83",0%,Sim,RJ,retirar na loja,
23/04/2024,Elisa Pereira,Brigadeiro (cx 20),5,"169,16",10%,Não,sp,,
18/04/2024,Carla Costa,Cookie,6,"58,84",10%,sim,sp,pagou no pix,
04/04/2024,Lucas Araújo,Cookie,5,"19,18",10%,S,SP,retirar na loja,
2024-04-10,Carla Ribeiro,Torta de limão,6,"170,66",5%,Não,sp,,
11/04/2024,Tiago Ferreira,Pão de mel,1,"60,83",5%,S,SP,,
12/04/2024,Carla Gomes,Torta de limão,3,"128,71",0%,Não,MG,,
16/04/2024,Elisa Santos,Bolo de pote,3,"R$84,52",10%,NAO,RJ,cliente pediu p/ entregar depois das 18h,
2024-04-07,Ana Araújo,Brigadeiro (cx 20),4,"R$ 27,81",10%,Sim,sp,,
16/04/2024,Yasmin Oliveira,Bolo de pote,6,"R$ 132,50",10%,NAO,SP,cliente pediu p/ entregar depois das 18h,
21/04/2024,Sofia Gomes,Bolo de pote,2,"R$ 68,27",0%,sim,sp,cliente pediu p/ entregar depois das 18h,
2024-04-13,Ana Araújo,Torta de limão,6,"60,70",5%,Não,SP,,
24/04/2024,Yasmin Martins,Cookie,1,"R$ 141,43",5%,S,SP,,
25/04/2024,Carla Silva,Pão de mel,6,"136,52",0%,sim,RJ,,
03/04/2024,Marina Ribeiro,Brigadeiro (cx 20),3,"R$130,91",10%,Não,RJ,cliente pediu p/ entregar depois das 18h,
2024-04-08,Rafael Araújo,Cookie,3,"R$96,54",10%,Não,MG,,
2024-04-08,Karina Rodrigues,Brigadeiro (cx 20),6,"R$86,66",0%,sim,SP,pagou no pix,
10/04/2024,Paulo Nascimento,Brigadeiro (cx 20),1,"R$ 156,36",5%,sim,RJ,retirar na loja,
13/04/2024,Úrsula Lima,Pão de mel,4,"126,95",5%,Não,SP,cliente pediu p/ entregar depois das 18h,
17/04/2024,Karina Carvalho,Torta de limão,2,"R$ 163,92",5%,sim,SP,,
28/04/2024,Gabriela Santos,Pão de mel,3,"R$25,36",5%,NAO,SP,,
14/04/2024,Sofia Araújo,Torta de limão,4,"R$169,72",0%,S,MG,,
2024-04-03,Karina Araújo,Pão de mel,2,"R$ 150,95",10%,Sim,SP,,
13/04/2024,Diego Ferreira,Torta de limão,1,"R$ 33,43",0%,Não,sp,,
28/04/2024,Ana Martins,Cookie,1,"R$91,46",0%,sim,SP,pagou no pix,
2024-04-05,Olívia Gomes,Brigadeiro (cx 20),4,"R$121,87",10%,NAO,SP,,
2024-04-12,Karina Ferreira,Pão de mel,5,"R$ 165,53",0%,sim,sp,pagou no pix,
2024-04-02,Wanda Costa,Bolo de pote,2,"60,67",0%,NAO,SP,,
22/04/2024,Lucas Gomes,Pão de mel,2,"R$91,54",0%,S,sp,,
2024-04-03,Heitor Nascimento,Pão de mel,4,"R$163,52",5%,S,RJ,cliente pediu p/ entregar depois das 18h,
04/04/2024,Vitor Gomes,Cookie,6,"R$61,30",0%,S,RJ,cliente pediu p/ entregar depois das 18h,
17/04/2024,Íris Ferreira,Brigadeiro (cx 20),5,"105,31",0%,Não,RJ,,
23/04/2024,Sofia Martins,Torta de limão,1,"77,67",10%,NAO,SP,pagou no pix,
11/04/2024,João Ferreira,Torta de limão,2,"R$110,18",5%,sim,RJ,retirar na loja,
2024-04-22,Heitor Lima,Brigadeiro (cx 20),1,"R$126,29",10%,sim,sp,,
18/04/2024,Wanda Souza,Brigadeiro (cx 20),1,"27,01",0%,S,SP,,
,,,,,,,,,
2024-04-25,Bruno Costa,Pão de mel,3,"R$173,26",5%,Sim,SP,,
14/04/2024,Diego Ferreira,Bolo de pote,1,"R$ 59,90",10%,Não,sp,,
2024-04-21,Úrsula Souza,Brigadeiro (cx 20),6,"R$ 142,80",5%,sim,RJ,,
08/04/2024,Tiago Gomes,Bolo de pote,2,"R$ 34,56",5%,S,SP,,
20/04/2024,Olívia Araújo,Brigadeiro (cx 20),4,"R$ 173,14",0%,sim,MG,cliente pediu p/ entregar depois das 18h,
2024-04-05,Íris Santos,Brigadeiro (cx 20),2,"50,69",0%,S,RJ,,
07/04/2024,Sofia Costa,Pão de mel,4,"R$ 53,50",10%,S,RJ,,
21/04/2024,Íris Santos,Torta de limão,4,"138,50",0%,Sim,sp,retirar na loja,
15/04/2024,Lucas Santos,Bolo de pote,2,"R$ 109,44",10%,S,SP,retirar na loja,
Subtotal 04/2024,,,,"6.539,83",,,,,
,,,,,,,,,
TOTAL GERAL,,,,,,,,,
